issue,device,severity,urgent,rating,num_reviews,success_rate,experience_years,distance_km,response_time_min,base_price,service_type,availability,selected
slow_performance,desktop,high,yes,3.5,1013,0.82,6,13.26,21,205,shop_visit,busy,1
overheating,router,medium,yes,3.7,1370,0.8,10,12.32,53,2625,shop_visit,available,0
overheating,router,high,yes,5.0,296,0.44,12,0.65,33,971,shop_visit,available,1
slow_performance,printer,low,yes,2.4,2358,0.66,6,10.68,114,2237,shop_visit,available,0
wifi_issue,laptop,low,yes,2.5,293,0.31,6,8.69,22,529,home_service,available,0
strange_noise,printer,low,yes,1.6,1684,0.84,10,11.88,68,2464,shop_visit,available,0
overheating,router,medium,no,2.4,2173,0.87,11,12.11,31,2524,home_service,busy,1
broken_screen,printer,medium,yes,3.1,1778,0.91,1,12.17,46,305,home_service,offline,1
wifi_issue,desktop,high,yes,3.9,910,0.37,5,2.15,62,1668,shop_visit,available,1
not_working,router,low,no,1.8,2369,0.64,0,3.37,30,1858,home_service,available,0
overheating,printer,low,yes,3.0,2503,0.69,5,13.19,104,1946,shop_visit,busy,1
broken_screen,desktop,low,no,2.0,1355,0.91,15,7.06,59,1841,home_service,busy,0
power_issue,desktop,high,yes,4.1,2584,0.92,8,2.71,90,1845,shop_visit,busy,0
not_working,scanner,medium,no,1.6,1312,0.32,10,1.87,21,952,shop_visit,busy,1
slow_performance,scanner,low,no,2.0,2528,0.91,3,5.64,92,921,shop_visit,available,0
overheating,laptop,medium,yes,4.8,1535,0.64,5,3.68,99,2278,home_service,available,0
power_issue,scanner,low,no,4.3,106,0.4,2,6.72,46,223,home_service,offline,0
broken_screen,desktop,high,yes,4.2,2074,0.45,11,11.8,109,578,home_service,busy,1
broken_screen,router,low,no,4.8,2003,0.62,1,14.42,113,1919,shop_visit,busy,0
slow_performance,printer,low,yes,3.1,679,0.48,3,3.99,112,710,home_service,offline,0
broken_screen,desktop,low,yes,2.9,2001,0.47,7,5.38,38,2241,shop_visit,busy,0
not_working,desktop,low,yes,1.7,1861,0.6,6,0.63,54,2787,home_service,busy,1
